id,fb_soclife_base,fb_soclife_end,fb_soclife_diff
2370,3,1,-2
2371,0,-2,-2
2372,-2,0,2
2375,-1,1,2
2378,0,2,2
2379,0,1,1
2380,1,3,2
2381,-2,-1,1
2389,-3,2,5
2390,-1,-3,-2
2392,5,5,0
2393,-3,-3,0
2395,-1,-1,0
2397,5,5,0
2404,-1,-1,0
2406,0,0,0
2408,4,3,-1
2410,-1,3,4
2413,-2,3,5
2414,1,0,-1
2418,2,0,-2
2419,2,2,0
2421,-1,1,2
2423,-1,0,1
2424,0,-1,-1
2427,2,1,-1
2429,-1,-2,-1
2431,1,0,-1
2432,-1,-1,0
2435,1,-2,-3
2436,-3,-1,2
2437,-2,-2,0
2440,3,-3,-6
2443,-1,1,2
2444,2,0,-2
2445,1,3,2
2449,0,0,0
2450,2,1,-1
2451,-1,-2,-1
2455,2,2,0
2458,-1,-1,0
2459,0,-5,-5
2460,1,3,2
2461,-3,-2,1
2462,-2,-2,0
2463,1,-1,-2
2464,-2,-2,0
2465,-2,-5,-3
2466,1,-5,-6
2468,0,-2,-2
2469,0,-2,-2
2472,-1,-3,-2
2474,-3,-2,1
2475,-3,2,5
2476,0,0,0
2479,2,1,-1
2487,-2,-3,-1
2488,1,1,0
2489,-4,-2,2
2490,0,0,0
2495,2,2,0
2501,3,1,-2
2502,-3,-3,0
2504,1,1,0
2507,-1,0,1
2509,2,2,0
2510,-5,-4,1
2512,0,0,0
2514,1,0,-1
2516,-4,-1,3
2518,2,-3,-5
2519,3,4,1
2520,0,0,0
2522,-1,0,1
2524,0,1,1
2527,1,-2,-3
2528,-5,0,5
2532,-3,-1,2
2533,1,-1,-2
2535,-3,-3,0
2536,2,1,-1
2545,-4,-1,3
2550,1,2,1
2552,0,1,1
2555,1,3,2
2559,0,0,0
2560,1,2,1
2562,-1,-1,0
2565,-4,-3,1
2567,0,0,0
2569,0,1,1
2572,2,2,0
2576,4,-3,-7
2577,3,4,1
2580,-1,2,3
2589,2,2,0
2590,-2,1,3
2596,-1,1,2
2597,1,2,1
2598,-4,-3,1
2599,0,1,1
2600,0,1,1
2602,2,0,-2
2605,1,-1,-2
2606,2,3,1
2607,1,-2,-3
2610,0,0,0
2611,0,1,1
2612,1,2,1
2619,-2,-2,0
2622,0,0,0
2625,-1,1,2
2628,0,2,2
2629,2,3,1
2631,-2,-2,0
2632,2,-1,-3
2635,1,1,0
2637,2,1,-1
2638,1,1,0
2639,0,2,2
2640,-3,-5,-2
2642,-2,-1,1
2646,-2,3,5
2649,-2,-2,0
2651,-1,1,2
2654,2,0,-2
2655,2,2,0
2659,2,2,0
2662,0,-2,-2
2665,-3,-4,-1
2675,0,0,0
2676,2,1,-1
2677,0,0,0
2679,0,-1,-1
2682,2,2,0
2688,-1,-2,-1
2690,-1,0,1
2693,2,3,1
2701,-2,-2,0
2703,-1,-2,-1
2704,-2,-2,0
2707,-2,-4,-2
2708,-1,0,1
2710,1,-1,-2
2716,-2,1,3
2717,-4,-2,2
2718,0,-1,-1
2720,0,0,0
2723,-1,1,2
2724,-1,-1,0
2726,4,5,1
2727,-1,-5,-4
2728,-3,-3,0
2731,1,1,0
2732,-1,0,1
2733,2,2,0
2734,-1,0,1
2735,0,-1,-1
2736,1,1,0
2738,0,0,0
2739,0,0,0
2742,0,-1,-1
2746,-2,-2,0
2748,-1,2,3
2750,0,1,1
2751,-3,1,4
2752,-1,1,2
2754,0,1,1
2755,2,2,0
2758,1,-1,-2
2759,-4,-3,1
2761,4,3,-1
2765,0,1,1
2767,-2,-1,1
2768,0,0,0
2771,4,-3,-7
2772,1,2,1
2774,-2,-2,0
2777,-1,-1,0
2778,-3,-3,0
2780,-1,-1,0
2783,0,1,1
2785,0,0,0
2791,-1,0,1
2793,-1,0,1
2794,1,0,-1
2795,0,0,0
2796,1,1,0
2800,-5,-3,2
2804,-1,-1,0
2806,1,0,-1
2807,0,3,3
2808,-4,-3,1
2811,0,0,0
2812,-1,0,1
2813,-2,-3,-1
2814,-1,-1,0
2815,1,0,-1
2816,2,3,1
2823,-1,0,1
2827,-2,1,3
2828,-3,1,4
2829,1,1,0
2830,-1,-4,-3
2833,-2,2,4
2834,-2,0,2
2836,0,0,0
2838,2,2,0
2840,-1,0,1
2842,4,1,-3
2844,0,0,0
2847,2,2,0
2849,-2,0,2
2851,0,1,1
2855,-2,-2,0
2858,1,0,-1
2860,2,0,-2
2861,-2,0,2
2864,-2,-1,1
2865,2,-1,-3
2866,-3,1,4
2867,-2,-1,1
2868,-3,-3,0
2869,3,2,-1
2874,1,1,0
2876,-1,0,1
2877,-1,1,2
2879,2,-3,-5
2880,2,-2,-4
2881,1,1,0
2883,5,5,0
2884,1,2,1
2887,2,-1,-3
2888,1,-2,-3
2889,-1,-2,-1
2891,-3,-3,0
2892,3,3,0
2893,-1,1,2
2894,3,3,0
2896,2,-1,-3
2897,0,1,1
2899,0,3,3
2901,-2,1,3
2904,-3,-1,2
2905,1,1,0
2907,-1,-2,-1
2909,-3,-3,0
2912,0,2,2
2914,-1,-2,-1
2916,1,2,1
2917,3,1,-2
2918,0,0,0
2921,0,0,0
2922,1,-1,-2
2924,-3,-5,-2
2926,-2,-1,1
2928,1,1,0
2930,1,2,1
2935,-1,-1,0
2937,-3,-3,0
2941,-4,-1,3
2943,-1,0,1
2945,-2,-3,-1
2946,-2,-2,0
2947,2,1,-1
2948,2,1,-1
2949,2,4,2
2951,2,1,-1
2952,-1,2,3
2953,2,3,1
2954,0,-2,-2
2960,-2,1,3
2962,-1,-1,0
2963,-1,-2,-1
2964,3,2,-1
2966,0,0,0
2967,-1,-3,-2
2969,2,1,-1
2970,0,1,1
2975,-1,2,3
2976,1,-1,-2
2978,2,0,-2
2980,-2,3,5
2983,1,1,0
2987,-1,-2,-1
2989,-4,-5,-1
2990,-3,-2,1
2991,2,0,-2
2995,2,-2,-4
2996,2,1,-1
2998,2,1,-1
2999,-1,-1,0
3000,2,1,-1
3003,-2,-2,0
3004,1,2,1
3007,3,4,1
3008,1,1,0
3010,-2,-2,0
3011,-3,-3,0
3013,-1,-2,-1
3014,0,0,0
3018,2,-1,-3
3019,-5,-5,0
3020,-1,2,3
3021,2,-5,-7
3022,-3,-1,2
3024,2,1,-1
3025,-3,-3,0
3026,-3,-2,1
3029,2,0,-2
3032,0,0,0
3036,1,0,-1
3039,3,3,0
3040,2,2,0
3041,-4,-4,0
3043,1,1,0
3048,-2,-2,0
3051,-1,-1,0
3055,0,0,0
3057,3,2,-1
3059,-2,-2,0
3061,-1,-2,-1
3062,2,2,0
3065,0,2,2
3070,-2,1,3
3071,0,0,0
3074,3,3,0
3076,0,-1,-1
3080,-1,1,2
3081,2,3,1
3084,5,-1,-6
3085,-1,-2,-1
3086,0,1,1
3088,-3,-3,0
3089,3,3,0
3095,2,-3,-5
