id,other_social_response,fb_minutes,other_social_minutes,sum_social_minutes
1665,Between 1 and 2 hours,300,90,390
2217,More than 3 hours,120,180,300
501,More than 3 hours,45,180,225
1896,Between 2 and 3 hours,180,150,330
12798,More than 3 hours,300,180,480
15732,Between 31 minutes and 1 hour,45,45,90
175,Between 1 and 2 hours,100,90,190
1953,More than 3 hours,60,180,240
834,More than 3 hours,45,180,225
24148,Between 2 and 3 hours,45,150,195
23862,Between 31 minutes and 1 hour,60,45,105
23446,Between 1 and 2 hours,45,90,135
15538,Between 2 and 3 hours,75,150,225
21445,Between 1 and 30 minutes,120,15,135
2951,Between 1 and 2 hours,45,90,135
22193,Between 1 and 2 hours,120,90,210
23703,Between 31 minutes and 1 hour,120,45,165
10587,Between 2 and 3 hours,300,150,450
21815,Between 1 and 2 hours,360,90,450
704,Between 1 and 2 hours,180,90,270
17835,More than 3 hours,200,180,380
11730,Between 1 and 30 minutes,210,15,225
24015,Between 2 and 3 hours,180,150,330
13780,Between 1 and 30 minutes,60,15,75
67,Between 1 and 2 hours,30,90,120
3029,Between 31 minutes and 1 hour,60,45,105
363,More than 3 hours,45,180,225
2176,Between 31 minutes and 1 hour,35,45,80
23660,More than 3 hours,120,180,300
3124,Between 1 and 2 hours,100,90,190
2005,Between 1 and 2 hours,90,90,180
1435,Between 1 and 2 hours,30,90,120
1491,More than 3 hours,30,180,210
14619,More than 3 hours,60,180,240
16225,Between 2 and 3 hours,45,150,195
2469,More than 3 hours,60,180,240
14866,More than 3 hours,120,180,300
21813,Between 1 and 2 hours,90,90,180
2269,Between 1 and 30 minutes,90,15,105
1991,Between 2 and 3 hours,95,150,245
18041,Between 31 minutes and 1 hour,60,45,105
19651,Between 31 minutes and 1 hour,45,45,90
21906,Between 1 and 2 hours,120,90,210
19229,Between 31 minutes and 1 hour,240,45,285
13464,Between 1 and 2 hours,120,90,210
21726,More than 3 hours,100,180,280
16260,Between 2 and 3 hours,45,150,195
15500,More than 3 hours,45,180,225
22866,More than 3 hours,90,180,270
14011,More than 3 hours,60,180,240
2284,Between 31 minutes and 1 hour,20,45,65
611,Between 2 and 3 hours,45,150,195
20523,More than 3 hours,120,180,300
3101,Between 1 and 2 hours,30,90,120
1418,More than 3 hours,240,180,420
595,Between 1 and 2 hours,120,90,210
2090,More than 3 hours,500,180,680
15160,Between 2 and 3 hours,20,150,170
23262,Between 1 and 30 minutes,120,15,135
2289,Between 31 minutes and 1 hour,60,45,105
14624,Between 1 and 2 hours,60,90,150
18684,Between 2 and 3 hours,60,150,210
1679,More than 3 hours,20,180,200
624,0 minutes,45,0,45
10353,More than 3 hours,30,180,210
21261,Between 31 minutes and 1 hour,25,45,70
1197,Between 1 and 2 hours,60,90,150
15471,Between 2 and 3 hours,240,150,390
1925,Between 2 and 3 hours,60,150,210
1774,Between 1 and 2 hours,180,90,270
16462,Between 2 and 3 hours,120,150,270
9567,Between 2 and 3 hours,60,150,210
719,Between 2 and 3 hours,180,150,330
9950,Between 2 and 3 hours,30,150,180
13601,Between 2 and 3 hours,90,150,240
1205,Between 2 and 3 hours,45,150,195
22991,Between 1 and 2 hours,200,90,290
1694,Between 1 and 2 hours,110,90,200
2937,More than 3 hours,180,180,360
266,Between 2 and 3 hours,480,150,630
1676,0 minutes,900,0,900
1237,Between 1 and 2 hours,60,90,150
11663,More than 3 hours,120,180,300
381,More than 3 hours,120,180,300
16024,Between 1 and 2 hours,60,90,150
1974,More than 3 hours,30,180,210
20326,Between 31 minutes and 1 hour,30,45,75
18819,0 minutes,600,0,600
22964,Between 31 minutes and 1 hour,90,45,135
1475,Between 1 and 2 hours,120,90,210
470,More than 3 hours,60,180,240
22471,Between 1 and 2 hours,30,90,120
11585,Between 1 and 2 hours,60,90,150
20385,More than 3 hours,20,180,200
1310,Between 1 and 2 hours,90,90,180
12317,Between 2 and 3 hours,60,150,210
2331,Between 1 and 2 hours,60,90,150
11671,More than 3 hours,120,180,300
18014,Between 2 and 3 hours,59,150,209
17570,Between 1 and 30 minutes,60,15,75
18318,More than 3 hours,60,180,240
18451,Between 1 and 2 hours,440,90,530
12261,Between 31 minutes and 1 hour,60,45,105
1853,More than 3 hours,45,180,225
17642,Between 31 minutes and 1 hour,120,45,165
2702,More than 3 hours,120,180,300
20572,Between 1 and 30 minutes,300,15,315
21581,More than 3 hours,30,180,210
15379,0 minutes,60,0,60
1849,Between 1 and 2 hours,45,90,135
2506,More than 3 hours,150,180,330
11327,Between 2 and 3 hours,350,150,500
422,Between 2 and 3 hours,90,150,240
2742,0 minutes,120,0,120
11691,Between 1 and 2 hours,90,90,180
23087,More than 3 hours,90,180,270
9871,Between 1 and 2 hours,450,90,540
1611,Between 1 and 30 minutes,80,15,95
1753,More than 3 hours,45,180,225
24044,Between 1 and 2 hours,360,90,450
23441,More than 3 hours,40,180,220
284,Between 1 and 2 hours,45,90,135
2671,Between 1 and 30 minutes,400,15,415
20400,Between 31 minutes and 1 hour,20,45,65
2169,More than 3 hours,50,180,230
1441,More than 3 hours,120,180,300
15046,Between 2 and 3 hours,240,150,390
1669,Between 1 and 2 hours,30,90,120
1099,More than 3 hours,120,180,300
20592,Between 1 and 2 hours,25,90,115
514,Between 31 minutes and 1 hour,120,45,165
2522,Between 1 and 2 hours,60,90,150
800,Between 1 and 2 hours,60,90,150
288,Between 2 and 3 hours,30,150,180
18638,Between 2 and 3 hours,150,150,300
22926,Between 2 and 3 hours,75,150,225
12764,Between 2 and 3 hours,100,150,250
3091,More than 3 hours,45,180,225
126,Between 1 and 2 hours,600,90,690
